ID,http://www.okkam.org/ontology_person1.owl#surname,http://www.okkam.org/ontology_person1.owl#soc_sec_id,http://www.okkam.org/ontology_person1.owl#phone_numer,http://www.okkam.org/ontology_person1.owl#has_address,http://www.okkam.org/ontology_person1.owl#date_of_birth,http://www.okkam.org/ontology_person1.owl#given_name,http://www.okkam.org/ontology_person1.owl#age
http://www.okkam.org/oaie/person1-Person2190,ciccarello,9084426,08 49011134,http://www.okkam.org/oaie/person1-address2190,,catherine,32
http://www.okkam.org/oaie/person1-Person5570,brownwood,2866517,04 79533836,http://www.okkam.org/oaie/person1-address5570,19820107,alexandra,23
http://www.okkam.org/oaie/person1-Person3320,dempsey,6844197,03 44299403,http://www.okkam.org/oaie/person1-address3320,19860726,justin,
http://www.okkam.org/oaie/person1-Person4970,papadopoulos,8085569,03 39811308,http://www.okkam.org/oaie/person1-address4970,19880629,kate,30
http://www.okkam.org/oaie/person1-Person3440,bowden,2136243,03 83303200,http://www.okkam.org/oaie/person1-address3440,19070310,angelica,
http://www.okkam.org/oaie/person1-Person3960,hampton,7314079,02 24822131,http://www.okkam.org/oaie/person1-address3960,19751220,tayah,22
http://www.okkam.org/oaie/person1-Person3820,krieg,8361906,03 98144804,http://www.okkam.org/oaie/person1-address3820,19010329,alana,
http://www.okkam.org/oaie/person1-Person4820,beaglehole,5965585,04 06424714,http://www.okkam.org/oaie/person1-address4820,19861022,jake,35
http://www.okkam.org/oaie/person1-Person3220,forster,8881164,08 52784833,http://www.okkam.org/oaie/person1-address3220,19360409,blaize,27
http://www.okkam.org/oaie/person1-Person3580,whittle,8669648,02 81281746,http://www.okkam.org/oaie/person1-address3580,19210114,taylah,32
http://www.okkam.org/oaie/person1-Person5470,clarke,9356606,07 36149736,http://www.okkam.org/oaie/person1-address5470,,mitchell,33
http://www.okkam.org/oaie/person1-Person3020,jolley,2736025,04 91389478,http://www.okkam.org/oaie/person1-address3020,19811005,bayley,
http://www.okkam.org/oaie/person1-Person2950,kaines,6304287,03 04125338,http://www.okkam.org/oaie/person1-address2950,19670429,joshua,30
http://www.okkam.org/oaie/person1-Person5370,james,1531711,08 82515216,http://www.okkam.org/oaie/person1-address5370,19880516,amy,25
http://www.okkam.org/oaie/person1-Person3120,rennell,4207865,04 75382509,http://www.okkam.org/oaie/person1-address3120,19221007,mackenzie,39
http://www.okkam.org/oaie/person1-Person5270,oliver,8091813,02 60025365,http://www.okkam.org/oaie/person1-address5270,19001122,samuel,30
http://www.okkam.org/oaie/person1-Person2810,hall,2132212,02 80672052,http://www.okkam.org/oaie/person1-address2810,19530907,talan,28
